mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000861	57.01	106.62	92.81	82.71
ENSMUSG00000000869	0.0	0.0	0.0	0.0
ENSMUSG00000000876	18.73	7.37	17.64	13.97
ENSMUSG00000000881	52.6	75.05	82.51	50.94
ENSMUSG00000000884	5.59	16.21	12.22	8.51
ENSMUSG00000000889	3.14	1.16	5.2	1.34
ENSMUSG00000000901	39.15	31.6	29.29	13.33
ENSMUSG00000000902	141.86	128.61	121.9	98.96
ENSMUSG00000000903	0.0	0.0	0.0	0.0
ENSMUSG00000000915	38.88	18.58	50.03	21.13
ENSMUSG00000000916	77.19	48.87	62.46	54.13
ENSMUSG00000000934	4.33	9.58	11.97	17.97
ENSMUSG00000000938	0.0	0.0	0.0	0.0
ENSMUSG00000000942	15.88	22.09	0.0	5.86
ENSMUSG00000000948	334.3	320.81	543.05	521.37
ENSMUSG00000000957	118.61	71.64	59.52	51.08
ENSMUSG00000000958	5.96	7.32	2.19	2.99
ENSMUSG00000000959	50.62	67.72	83.83	81.07
ENSMUSG00000000976	28.42	26.57	21.53	24.6
ENSMUSG00000000982	0.0	0.0	0.0	4.9
ENSMUSG00000000983	0.0	0.0	0.0	0.0
ENSMUSG00000001014	0.0	0.0	0.0	0.0
ENSMUSG00000001016	126.97	178.0	89.68	127.09
ENSMUSG00000001017	203.7	243.33	177.32	182.28
ENSMUSG00000001018	62.7	57.13	24.89	35.08
ENSMUSG00000001020	0.0	0.0	0.0	0.0
ENSMUSG00000001021	0.0	0.0	0.0	10.84
ENSMUSG00000001023	0.0	0.0	0.0	0.0
ENSMUSG00000001025	42.46	25.77	141.57	37.42
ENSMUSG00000001027	0.58	0.0	0.64	0.44
ENSMUSG00000001029	53.59	7.5	12.06	2.57
ENSMUSG00000001034	139.35	174.85	98.55	99.11
ENSMUSG00000001036	68.81	79.56	111.2	86.22
ENSMUSG00000001039	45.96	51.96	39.68	32.71
ENSMUSG00000001052	88.74	51.1	78.71	78.01
ENSMUSG00000001053	1.7	6.29	13.17	7.7
ENSMUSG00000001054	67.38	64.14	78.73	65.43
ENSMUSG00000001056	122.46	112.17	43.6	72.6
ENSMUSG00000001062	162.82	90.31	171.61	145.19
ENSMUSG00000001065	37.27	42.23	21.54	41.53
ENSMUSG00000001076	21.83	11.97	6.05	12.36
ENSMUSG00000001082	185.07	130.81	220.33	231.54
ENSMUSG00000001089	12.06	11.57	6.94	12.25
ENSMUSG00000001095	0.0	0.0	0.0	0.0
ENSMUSG00000001098	71.59	75.84	60.23	55.48
ENSMUSG00000001100	99.35	102.05	126.02	141.71
ENSMUSG00000001103	0.0	0.0	0.0	0.0
ENSMUSG00000001105	48.25	83.52	30.34	106.5
ENSMUSG00000001119	120.8	34.81	35.54	31.4
ENSMUSG00000001120	26.21	46.52	37.43	26.13
ENSMUSG00000001123	27.94	6.17	18.53	17.76
