mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000938	0.0	0.0	0.0	0.0
ENSMUSG00000000942	6.0	9.0	0.0	1.0
ENSMUSG00000000948	161.0	209.0	236.0	332.0
ENSMUSG00000000957	77.0	63.0	35.0	44.0
ENSMUSG00000000958	3.0	5.0	1.0	2.0
ENSMUSG00000000959	32.0	58.0	48.0	68.0
ENSMUSG00000000976	37.0	48.0	20.0	43.0
ENSMUSG00000000982	0.0	0.0	0.0	1.0
ENSMUSG00000000983	0.0	0.0	0.0	0.0
ENSMUSG00000001014	0.0	0.0	0.0	0.0
ENSMUSG00000001016	61.0	116.0	39.0	81.0
ENSMUSG00000001017	114.0	199.0	96.0	145.0
ENSMUSG00000001018	20.0	28.0	10.0	17.0
ENSMUSG00000001020	0.0	0.0	0.0	0.0
ENSMUSG00000001021	0.0	0.0	0.0	2.0
ENSMUSG00000001023	0.0	0.0	0.0	0.0
ENSMUSG00000001025	6.0	5.0	18.0	7.0
ENSMUSG00000001027	1.0	0.0	1.0	1.0
ENSMUSG00000001029	6.0	2.0	3.0	1.0
ENSMUSG00000001034	77.0	132.0	59.0	82.0
ENSMUSG00000001036	46.0	64.0	73.0	91.0
ENSMUSG00000001039	8.0	8.0	6.0	7.0
ENSMUSG00000001052	76.0	69.0	41.0	73.0
ENSMUSG00000001053	1.0	5.0	7.0	6.0
ENSMUSG00000001054	27.0	33.0	26.0	39.0
ENSMUSG00000001056	28.0	31.0	9.0	22.0
ENSMUSG00000001062	56.0	61.0	79.0	96.0
ENSMUSG00000001065	17.0	33.0	13.0	33.0
ENSMUSG00000001076	4.0	3.0	1.0	3.0
ENSMUSG00000001082	53.0	60.0	48.0	72.0
ENSMUSG00000001089	23.0	31.0	12.0	31.0
ENSMUSG00000001095	0.0	0.0	0.0	0.0
ENSMUSG00000001098	48.0	72.0	43.0	58.0
ENSMUSG00000001100	39.0	61.0	43.0	57.0
ENSMUSG00000001103	0.0	0.0	0.0	0.0
ENSMUSG00000001105	11.0	27.0	7.0	29.0
ENSMUSG00000001119	109.0	48.0	23.0	44.0
ENSMUSG00000001120	11.0	18.0	16.0	9.0
ENSMUSG00000001123	10.0	3.0	6.0	7.0
ENSMUSG00000001127	88.0	134.0	85.0	133.0
ENSMUSG00000001128	15.0	13.0	6.0	8.0
ENSMUSG00000001131	4.0	1.0	2.0	0.0
ENSMUSG00000001134	3.0	4.0	2.0	3.0
ENSMUSG00000001138	18.0	33.0	25.0	22.0
ENSMUSG00000001143	29.0	36.0	25.0	38.0
ENSMUSG00000001150	43.0	69.0	40.0	71.0
ENSMUSG00000001151	13.0	36.0	14.0	22.0
ENSMUSG00000001155	0.0	0.0	0.0	0.0
ENSMUSG00000001156	11.0	26.0	11.0	18.0
ENSMUSG00000001157	21.0	32.0	20.0	28.0
ENSMUSG00000001158	7.0	16.0	11.0	14.0
ENSMUSG00000001166	1.0	0.0	0.0	0.0
ENSMUSG00000001168	0.0	0.0	0.0	0.0
ENSMUSG00000001173	42.0	41.0	31.0	52.0
ENSMUSG00000001175	249.0	376.0	413.0	682.0
ENSMUSG00000001211	53.0	69.0	66.0	78.0
ENSMUSG00000001225	0.0	1.0	0.0	0.0
ENSMUSG00000001227	25.0	41.0	44.0	59.0
ENSMUSG00000001228	33.0	57.0	13.0	20.0
ENSMUSG00000001229	39.0	53.0	30.0	44.0
ENSMUSG00000001240	13.0	19.0	11.0	23.0
ENSMUSG00000001247	7.0	15.0	14.0	14.0
ENSMUSG00000001248	199.0	271.0	177.0	268.0
ENSMUSG00000001249	1.0	0.0	1.0	0.0
ENSMUSG00000001260	1.0	2.0	7.0	20.0
ENSMUSG00000001270	370.0	647.99	294.0	462.0
ENSMUSG00000001280	38.0	56.0	22.0	24.0
ENSMUSG00000001281	0.0	0.0	0.0	0.0
ENSMUSG00000001285	21.0	24.0	18.0	17.0
ENSMUSG00000001288	21.0	7.0	4.0	11.0
ENSMUSG00000001289	49.0	87.0	58.0	97.0
ENSMUSG00000001300	48.0	97.0	68.0	80.0
ENSMUSG00000001305	5.0	11.0	6.0	11.0
ENSMUSG00000001313	38.0	88.0	22.0	42.0
ENSMUSG00000001323	23.0	31.0	30.0	35.0
ENSMUSG00000001333	0.0	0.0	0.0	0.0
ENSMUSG00000001334	8.0	6.0	4.0	10.0
ENSMUSG00000001348	4.0	0.0	0.0	10.0
ENSMUSG00000001349	0.0	1.0	0.0	1.0
ENSMUSG00000001366	23.0	20.0	25.0	31.0
ENSMUSG00000001376	17.0	20.0	18.0	24.0
ENSMUSG00000001379	20.0	19.0	21.0	31.0
ENSMUSG00000001380	25.0	55.0	28.0	48.0
ENSMUSG00000001383	39.0	51.0	26.0	30.0
ENSMUSG00000001403	34.0	66.0	6.0	16.0
ENSMUSG00000001415	83.0	94.0	53.0	86.0
ENSMUSG00000001416	120.0	170.0	109.0	163.0
ENSMUSG00000001417	0.0	0.0	0.0	0.0
ENSMUSG00000001418	17.0	23.0	8.0	24.0
ENSMUSG00000001419	47.0	64.0	41.0	51.0
ENSMUSG00000001420	1.0	0.0	1.0	0.0
ENSMUSG00000001424	93.0	65.0	46.0	77.0
ENSMUSG00000001435	63.0	53.0	11.0	24.0
ENSMUSG00000001436	14.0	25.0	17.0	29.0
ENSMUSG00000001440	170.0	198.0	119.0	170.0
ENSMUSG00000001441	77.0	83.0	91.0	123.0
ENSMUSG00000001444	0.0	0.0	0.0	0.0
ENSMUSG00000001445	16.0	27.0	19.0	30.0
