mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000081059	0.0	0.0	0.0	152.27
ENSMUSG00000081070	331.89	334.95	153.16	196.14
ENSMUSG00000081165	0.0	0.0	0.0	62.1
ENSMUSG00000081208	0.0	0.0	43.77	0.0
ENSMUSG00000081278	0.0	0.0	0.0	0.0
ENSMUSG00000081279	0.0	0.0	0.0	0.0
ENSMUSG00000081589	0.0	0.0	0.0	0.0
ENSMUSG00000081660	0.0	0.0	0.0	0.0
ENSMUSG00000081665	0.0	0.0	0.0	0.0
ENSMUSG00000081711	0.0	0.0	0.0	0.0
ENSMUSG00000081809	219.73	328.3	594.69	683.23
ENSMUSG00000081926	0.0	0.0	0.0	0.0
ENSMUSG00000082025	0.0	0.0	0.0	0.0
ENSMUSG00000082081	0.0	0.0	0.0	0.0
ENSMUSG00000082093	0.0	0.0	0.0	0.0
ENSMUSG00000082167	0.0	0.0	0.0	0.0
ENSMUSG00000082219	0.0	0.0	0.0	0.0
ENSMUSG00000082286	36023.37	33830.22	39593.43	34264.49
ENSMUSG00000082366	0.0	0.0	0.0	0.0
ENSMUSG00000082489	0.0	0.0	0.0	0.0
ENSMUSG00000082580	2036.74	2578.11	2213.78	3578.44
ENSMUSG00000082643	0.0	0.0	0.0	0.0
ENSMUSG00000082658	0.0	0.0	0.0	0.0
ENSMUSG00000082816	0.0	51.71	0.0	0.0
ENSMUSG00000082848	0.0	0.0	0.0	48.21
ENSMUSG00000082991	0.0	0.0	0.0	0.0
ENSMUSG00000083015	0.0	0.0	0.0	137.17
ENSMUSG00000083144	0.0	0.0	0.0	0.0
ENSMUSG00000083186	3571.38	3766.8	2428.67	3912.09
ENSMUSG00000083344	2394.57	1561.11	0.0	1438.76
ENSMUSG00000083489	0.0	0.0	0.0	0.0
ENSMUSG00000083579	2440.0	1751.82	2014.52	636.67
ENSMUSG00000083632	0.0	0.0	0.0	0.0
ENSMUSG00000083742	0.0	0.0	0.0	0.0
ENSMUSG00000083918	0.0	0.0	0.0	0.0
ENSMUSG00000084077	0.0	0.0	0.0	0.0
ENSMUSG00000084170	0.0	0.0	0.0	0.0
ENSMUSG00000084211	0.0	0.0	0.0	0.0
ENSMUSG00000084298	0.0	0.0	0.0	0.0
ENSMUSG00000084310	0.0	0.0	0.0	0.0
ENSMUSG00000084941	61.53	185.75	66.34	0.0
ENSMUSG00000084955	0.0	0.0	0.0	0.0
ENSMUSG00000084962	0.0	0.0	0.0	0.0
ENSMUSG00000085018	0.0	0.0	0.0	0.0
ENSMUSG00000085039	78.31	26.46	223.15	218.6
ENSMUSG00000085043	0.0	0.0	0.0	0.0
ENSMUSG00000085048	0.0	141.64	0.0	0.0
ENSMUSG00000085180	140.51	124.56	129.67	124.08
ENSMUSG00000085205	0.0	0.0	0.0	0.0
ENSMUSG00000085367	0.0	0.0	0.0	0.0
ENSMUSG00000085394	0.0	0.0	0.0	0.0
ENSMUSG00000085656	0.0	0.0	0.0	0.0
ENSMUSG00000085685	0.0	0.0	0.0	0.0
ENSMUSG00000085963	0.0	0.0	0.0	0.0
ENSMUSG00000085978	0.0	0.0	0.0	0.0
ENSMUSG00000086032	0.0	0.0	0.0	0.0
ENSMUSG00000086049	0.0	0.0	0.0	0.0
ENSMUSG00000086065	0.0	0.0	0.0	0.0
ENSMUSG00000086230	0.0	0.0	0.0	0.0
ENSMUSG00000086445	0.0	0.0	0.0	0.0
ENSMUSG00000086458	0.0	0.0	0.0	0.0
ENSMUSG00000086566	437.67	433.01	639.69	421.3
ENSMUSG00000086619	0.0	0.0	0.0	0.0
ENSMUSG00000087055	0.0	0.0	0.0	0.0
ENSMUSG00000087111	0.0	0.0	0.0	0.0
ENSMUSG00000087221	392.34	672.15	339.29	566.81
ENSMUSG00000087262	0.0	0.0	0.0	0.0
ENSMUSG00000087285	0.0	0.0	0.0	0.0
ENSMUSG00000087291	0.0	0.0	0.0	0.0
ENSMUSG00000087580	0.0	0.0	0.0	0.0
ENSMUSG00000087687	258.24	260.86	463.25	267.03
ENSMUSG00000087697	12.47	0.0	0.0	12.88
ENSMUSG00000089665	241.26	233.93	264.14	753.7
ENSMUSG00000089690	0.0	0.0	0.0	0.0
ENSMUSG00000089699	0.0	0.0	0.0	0.0
ENSMUSG00000089942	0.0	0.0	0.0	0.0
ENSMUSG00000089956	0.0	0.0	0.0	0.0
ENSMUSG00000090025	0.0	0.0	0.0	0.0
ENSMUSG00000090318	0.0	0.0	0.0	0.0
ENSMUSG00000090324	0.0	0.0	0.0	0.0
ENSMUSG00000090364	0.0	66.9	0.0	0.0
ENSMUSG00000090423	0.0	0.0	0.0	0.0
ENSMUSG00000090487	0.0	0.0	0.0	0.0
ENSMUSG00000090537	4383.12	7681.99	4000.42	7382.13
ENSMUSG00000090577	0.0	0.0	0.0	0.0
ENSMUSG00000090601	0.0	0.0	0.0	0.0
ENSMUSG00000090650	0.0	0.0	0.0	0.0
ENSMUSG00000090684	0.0	0.0	0.0	0.0
ENSMUSG00000090699	0.0	0.0	0.0	0.0
ENSMUSG00000090701	0.0	0.0	0.0	0.0
ENSMUSG00000090795	0.0	0.0	0.0	0.0
ENSMUSG00000090929	0.0	0.0	0.0	32.82
ENSMUSG00000091010	0.0	0.0	0.0	0.0
ENSMUSG00000091028	0.0	0.0	0.0	0.0
ENSMUSG00000091057	0.0	0.0	0.0	0.0
ENSMUSG00000091119	0.0	0.0	0.0	0.0
ENSMUSG00000091249	0.0	0.0	0.0	0.0
ENSMUSG00000091289	0.0	0.0	0.0	0.0
ENSMUSG00000091292	0.0	0.0	0.0	0.0
ENSMUSG00000091304	0.0	0.0	0.0	0.0
ENSMUSG00000091339	0.0	0.0	0.0	0.0
ENSMUSG00000091483	0.0	0.0	0.0	0.0
ENSMUSG00000091488	303.34	475.15	355.69	455.99
ENSMUSG00000091516	0.0	0.0	0.0	0.0
ENSMUSG00000091530	88.93	355.89	96.11	92.11
ENSMUSG00000091539	0.0	0.0	0.0	0.0
ENSMUSG00000091559	26.34	0.0	0.0	13.6
ENSMUSG00000091598	0.0	0.0	0.0	0.0
ENSMUSG00000091599	0.0	0.0	0.0	0.0
ENSMUSG00000091607	249.62	63.2	234.84	161.26
ENSMUSG00000091644	0.0	0.0	0.0	0.0
ENSMUSG00000091749	0.0	0.0	0.0	0.0
ENSMUSG00000091834	0.0	0.0	0.0	0.0
ENSMUSG00000091840	1170.88	1207.36	1842.78	2216.23
ENSMUSG00000091849	0.0	0.0	0.0	0.0
ENSMUSG00000091936	0.0	0.0	0.0	0.0
ENSMUSG00000092030	82.9	0.0	0.0	0.0
ENSMUSG00000092101	0.0	0.0	0.0	0.0
ENSMUSG00000092108	1170.88	1207.36	1842.78	2216.23
ENSMUSG00000092168	0.0	0.0	0.0	0.0
ENSMUSG00000092286	0.0	0.0	0.0	0.0
